E,mean,gt_to_sim_mean,sim_to_gt_mean,gt_to_sim_rmse,sim_to_gt_rmse,gt_to_sim_max,sim_to_gt_max,num_gt,num_sim,screenshot
15000000.0,0.011781560307204005,0.013592143057766919,0.009970977556641092,0.016905524160826402,0.012555948960102863,0.042698137387921165,0.025876134730661624,1218,325,results_fitE_flying_carpet\fb_surface_E_1.50e+07.png
16000000.0,0.010733818698261302,0.012074014774295148,0.009393622622227458,0.014813631885267952,0.011782682398930983,0.03536357501189427,0.024226856845346305,1218,337,results_fitE_flying_carpet\fb_surface_E_1.60e+07.png
17000000.0,0.009801112904353006,0.01066824726864898,0.008933978540057032,0.012865483862251283,0.011149153235325627,0.02812607587062377,0.023230291382059388,1218,353,results_fitE_flying_carpet\fb_surface_E_1.70e+07.png
18000000.0,0.00886706705709376,0.009586690778984656,0.008147443335202864,0.011444761791609817,0.010111876692311953,0.02592892470708378,0.021736935544478236,1218,359,results_fitE_flying_carpet\fb_surface_E_1.80e+07.png
19000000.0,0.008141039966450018,0.008597223928941317,0.00768485600395872,0.010127757403705879,0.009482632737412969,0.02152546888907117,0.020377819593914062,1218,374,results_fitE_flying_carpet\fb_surface_E_1.90e+07.png
20000000.0,0.007276149385212675,0.007742340259009436,0.0068099585114159145,0.009007190572517854,0.008332218805281155,0.01921353500784685,0.018326564680281817,1218,374,results_fitE_flying_carpet\fb_surface_E_2.00e+07.png
21000000.0,0.006465285002420518,0.006942258640214304,0.005988311364626731,0.007956854576533418,0.007244109397864624,0.017004243514005323,0.01618676573408111,1218,374,results_fitE_flying_carpet\fb_surface_E_2.10e+07.png
22000000.0,0.00577183643198286,0.006260886744004013,0.005282786119961707,0.007065403897137531,0.006306752495158025,0.015069073821865089,0.014315552734419472,1218,374,results_fitE_flying_carpet\fb_surface_E_2.20e+07.png
23000000.0,0.005155107842706811,0.005656944527264075,0.004653271158149547,0.006280199234980489,0.005464719027253037,0.013290205857371024,0.012608049219125802,1218,375,results_fitE_flying_carpet\fb_surface_E_2.30e+07.png
24000000.0,0.004578090049840007,0.005095343006076304,0.00406083709360371,0.005559159654212394,0.004674783209507534,0.01155421889092242,0.010959160139379361,1218,375,results_fitE_flying_carpet\fb_surface_E_2.40e+07.png
25100000.0,0.004061223231127465,0.0045971549377138024,0.0035252915245411283,0.004935545256004591,0.003965892394625676,0.010130256966421274,0.00941248163802715,1218,375,results_fitE_flying_carpet\fb_surface_E_2.51e+07.png
25200000.0,0.004018412869118858,0.004556167226833105,0.0034806585114046116,0.004885241990182187,0.003907230095336474,0.010032299959326207,0.009280001619360323,1218,375,results_fitE_flying_carpet\fb_surface_E_2.52e+07.png
25300000.0,0.003976282011823028,0.00451590428783063,0.0034366597358154263,0.0048360196469133315,0.0038494920135173816,0.00993627388836131,0.009148857977134559,1218,375,results_fitE_flying_carpet\fb_surface_E_2.53e+07.png
25400000.0,0.003934863659444024,0.004476368937344373,0.0033933583815436747,0.004787882581901278,0.00379277323339981,0.009842179423548465,0.009019048131502522,1218,375,results_fitE_flying_carpet\fb_surface_E_2.54e+07.png
25500000.0,0.003894135377366893,0.004437550458911316,0.003350720295822469,0.0047408200631298995,0.0037370218865059174,0.00975001725625826,0.008890569981175192,1218,375,results_fitE_flying_carpet\fb_surface_E_2.55e+07.png
25600000.0,0.0038541202762855226,0.004399455664247577,0.003308784888323468,0.004694837138124429,0.003682304710255156,0.00965978808496067,0.008763421930676493,1218,375,results_fitE_flying_carpet\fb_surface_E_2.56e+07.png
25700000.0,0.00381481596547105,0.004362095193345126,0.0032675367375969737,0.004649945971483485,0.0036286124061031943,0.00957149258520083,0.008637602890983611,1218,375,results_fitE_flying_carpet\fb_surface_E_2.57e+07.png
