E,mean,gt_to_sim_mean,sim_to_gt_mean,gt_to_sim_rmse,sim_to_gt_rmse,gt_to_sim_max,sim_to_gt_max,num_gt,num_sim,screenshot
17000000.0,0.014530464020373987,0.019173345963048843,0.009887582077699133,0.026057011314427635,0.012621394781780898,0.07626005467889298,0.028074681082078366,1867,229,results_fitE_cantilever_fixedEnd\fb_surface_E_1.70e+07.png
18000000.0,0.013397285853291106,0.01715497367835816,0.009639598028224054,0.02301372582290873,0.012287792336232521,0.06775576280904005,0.026103516586457112,1867,240,results_fitE_cantilever_fixedEnd\fb_surface_E_1.80e+07.png
19000000.0,0.012345216292284158,0.015460290033543357,0.00923014255102496,0.02048123930981277,0.011739177301931893,0.06217905280646247,0.0251143504096089,1867,249,results_fitE_cantilever_fixedEnd\fb_surface_E_1.90e+07.png
20000000.0,0.011309604007520468,0.01386995951226095,0.008749248502779987,0.018030379845432536,0.0111103891655856,0.055457980346926714,0.02415325749932341,1867,257,results_fitE_cantilever_fixedEnd\fb_surface_E_2.00e+07.png
21000000.0,0.010466625658194107,0.012559591001232917,0.008373660315155296,0.016078602736222768,0.01064027230810939,0.052276027817940024,0.024097660904561106,1867,266,results_fitE_cantilever_fixedEnd\fb_surface_E_2.10e+07.png
22000000.0,0.009624963884305445,0.011234006727067838,0.008015921041543052,0.01395606486421893,0.010189675884042189,0.042269332625276795,0.022361035066142485,1867,276,results_fitE_cantilever_fixedEnd\fb_surface_E_2.20e+07.png
23000000.0,0.008927467582596568,0.010213416575583084,0.007641518589610052,0.012432913918398045,0.00972625295574966,0.037210496551667874,0.022708990617364158,1867,285,results_fitE_cantilever_fixedEnd\fb_surface_E_2.30e+07.png
24000000.0,0.008212724684795256,0.009274332216372999,0.007151117153217513,0.011019793519554724,0.009100167499337437,0.030209909490144116,0.021041559787140413,1867,292,results_fitE_cantilever_fixedEnd\fb_surface_E_2.40e+07.png
25000000.0,0.007628279838280894,0.008473916265601187,0.006782643410960602,0.009846598891051689,0.008628866972797527,0.02703818922030167,0.019500359119568475,1867,301,results_fitE_cantilever_fixedEnd\fb_surface_E_2.50e+07.png
26000000.0,0.007068484565754532,0.007779475414143345,0.0063574937173657186,0.00886059678847605,0.008047745074794997,0.020600599435950065,0.018695215632049362,1867,309,results_fitE_cantilever_fixedEnd\fb_surface_E_2.60e+07.png
